marcador,pagina_sumario,numero_impresso,pagina_real,topo_cabecalho_pt
theme-1-section-0,1,4,4,133.0
theme-2-section-1,1,4,4,401.0
theme-3-section-2,1,4,4,669.0
theme-4-section-3,1,5,5,40.0
theme-5-section-4,1,5,5,308.0
theme-6-section-5,1,5,5,576.0
theme-7-section-6,1,6,6,179.0
theme-8-section-7,1,6,6,491.0
theme-9-section-8,1,7,7,40.0
theme-10-section-9,1,7,7,308.0
theme-11-section-10,1,15,15,263.0
theme-12-section-11,1,15,15,531.0
theme-13-section-12,1,16,16,40.0
theme-14-section-13,1,16,16,308.0
theme-15-section-14,2,16,16,620.0
theme-16-section-15,2,17,17,179.0
theme-17-section-16,2,17,17,447.0
theme-18-section-17,2,18,18,40.0
theme-19-section-18,2,18,18,308.0
theme-20-section-19,2,19,19,40.0
theme-21-section-20,2,27,27,40.0
theme-22-section-21,2,27,27,352.0
theme-23-section-22,2,27,27,620.0
theme-24-section-23,2,28,28,179.0
theme-25-section-24,2,28,28,447.0
theme-26-section-25,2,29,29,40.0
theme-27-section-26,2,29,29,308.0
theme-28-section-27,2,29,29,576.0
theme-29-section-28,2,30,30,223.0
theme-30-section-29,2,30,30,491.0
theme-31-section-30,2,38,38,432.0
theme-32-section-31,2,39,39,40.0
theme-33-section-32,3,39,39,308.0
theme-34-section-33,3,39,39,576.0
theme-35-section-34,3,40,40,179.0
theme-36-section-35,3,40,40,491.0
theme-37-section-36,3,41,41,40.0
theme-38-section-37,3,41,41,308.0
theme-39-section-38,3,41,41,576.0
theme-40-section-39,3,42,42,179.0
theme-41-section-40,3,50,50,40.0
theme-42-section-41,3,50,50,308.0
theme-43-section-42,3,50,50,620.0
theme-44-section-43,3,51,51,179.0
theme-45-section-44,3,51,51,447.0
theme-46-section-45,3,52,52,40.0
theme-47-section-46,3,52,52,308.0
theme-48-section-47,3,52,52,576.0
theme-49-section-48,3,53,53,179.0
theme-50-section-49,4,53,53,491.0
